Reference Number,Grid Ref: Easting,Grid Ref: Northing,Number of Vehicles,Accident Date,Time (24hr),1st Road Class,Road Surface,Lighting Conditions,Weather Conditions,Type of Vehicle 1,Casualty Class 1,Casualty Severity 1,Sex of Casualty 1,Age of Casualty 1,Type of Vehicle 2,Casualty Class 2,Casualty Severity 2,Sex of Casualty 2,Age of Casualty 2,Type of Vehicle 3,Casualty Class 3,Casualty Severity 3,Sex of Casualty 3,Age of Casualty 3,Type of Vehicle 4,Casualty Class 4,Casualty Severity 4,Sex of Casualty 4,Age of Casualty 4,Type of Vehicle 5,Casualty Class 5,Casualty Severity 5,Sex of Casualty 5,Age of Casualty 5,Type of Vehicle 6,Casualty Class 6,Casualty Severity 6,Sex of Casualty 6,Age of Casualty 6,Type of Vehicle 7,Casualty Class 7,Casualty Severity 7,Sex of Casualty 7,Age of Casualty 7
6CB1101,409811,425175,2,43810,1528,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Car,Driver or rider,Slight,Male,51,Pedal cycle,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,,,,,,
6CC0282,408636,424020,1,43811,730,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Car,Pedestrian,Slight,Female,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6CC1259,409539,425403,1,43811,1713,Unclassified,Snow,Darkness: street lights present and lit,Raining without high winds,Car,Pedestrian,Slight,Female,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6CG0378,407521,418226,2,43815,858,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,Goods vehicle 3.5 tonnes mgw and under,Driver or rider,Slight,Male,26,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,,,,,,
6CG1430,409445,424782,2,43815,1737,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Taxi/Private hire car,Vehicle or pillion passenger,Slight,Female,38,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,,,,,,
6CH0293,416786,422488,2,43816,805,Motorway,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Serious,Male,29,Goods vehicle 7.5 tonnes mgw and over,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,,,,,,
6CH1278,409089,425369,2,43817,1600,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Car,Driver or rider,Slight,Male,47,Pedal cycle,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,,,,,,
6CI1555,407591,425223,1,43817,1645,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Car,Pedestrian,Serious,Female,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6CJ0277,398516,427331,1,43818,733,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Car,Pedestrian,Serious,Female,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6CN1273,390917,423822,2,43822,1718,A,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Goods vehicle 3.5 tonnes mgw and under,Driver or rider,Slight,Male,28,Goods vehicle 3.5 tonnes mgw and under,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,,,,,,
6CS0418,406993,423677,2,43827,916,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Serious,Male,74,Pedal cycle,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,,,,,,
6CS1526,414057,424466,2,43827,1957,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedal cycle,Driver or rider,Serious,Male,13,Pedal cycle,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,,,,,,
